254	254	254	254	254	254	253	255	255	248	250	250	253	255	255	253	255	255	254	254	254	255	255	255	255	253	254	255	254	255	255	251	252	255	254	255	255	255	254	255	255	254	252	255	253	253	255	254	
255	255	255	255	255	255	249	251	251	253	255	255	255	255	255	253	253	253	255	255	255	255	253	252	255	254	253	255	254	255	255	254	255	255	252	253	255	253	252	254	255	253	253	255	254	252	255	253	
255	255	255	255	255	255	255	255	255	254	254	254	255	254	253	255	255	254	255	255	254	255	254	254	68	58	58	67	57	57	65	57	57	255	251	251	255	255	254	255	253	252	255	255	255	253	255	255	
255	255	255	254	254	254	254	254	254	255	254	254	255	255	254	255	255	252	65	56	53	68	57	53	181	169	165	119	106	104	120	108	106	65	55	55	255	255	254	255	255	254	255	255	255	251	253	253	
253	255	255	255	254	255	255	255	255	255	254	255	255	254	253	65	56	53	182	170	166	183	168	165	160	143	140	186	169	166	183	168	165	112	99	97	62	52	52	255	255	254	255	254	254	255	255	255	
253	255	255	255	254	255	255	253	253	255	252	251	68	59	56	160	148	144	165	149	143	186	167	162	164	144	139	185	165	160	190	171	166	121	106	103	70	58	56	255	255	254	255	253	253	255	255	255	
253	255	255	250	249	251	255	255	255	255	255	254	66	54	52	184	169	166	189	169	164	194	170	164	197	171	165	194	169	165	167	145	140	190	171	168	122	109	107	61	53	53	255	250	251	255	255	255	
253	255	255	255	255	255	255	255	254	58	53	50	185	174	170	185	169	163	166	144	138	193	169	163	191	165	159	173	147	141	165	140	136	190	171	168	118	105	103	68	58	58	255	254	255	255	255	255	
252	254	255	255	254	255	255	255	255	68	60	60	117	104	102	189	172	169	164	142	137	196	170	164	172	143	138	195	169	163	197	172	168	125	104	102	110	95	93	67	57	57	255	254	255	255	255	255	
253	255	255	255	254	255	253	251	251	255	253	252	66	54	52	123	108	105	185	165	160	196	174	168	172	148	142	188	164	158	129	107	102	123	104	101	121	108	106	64	56	56	255	254	255	253	251	251	
253	255	255	252	251	253	255	255	255	255	255	254	69	60	57	124	112	108	111	95	89	111	91	86	128	106	101	125	105	100	130	111	108	108	93	90	71	59	57	255	254	253	255	255	255	255	255	255	
249	251	252	255	254	255	255	255	255	255	254	255	255	253	252	66	57	54	121	109	105	122	108	102	114	98	92	112	95	92	117	102	99	110	97	95	62	52	52	255	255	254	255	253	253	253	253	253	
255	255	255	253	253	253	255	255	255	255	255	255	255	255	254	255	254	251	64	55	52	69	57	55	117	104	102	123	110	108	106	94	92	63	53	53	255	255	254	255	255	254	255	255	255	252	254	254	
253	253	253	253	253	253	255	255	255	254	254	254	252	250	249	255	255	254	255	255	254	255	255	252	69	62	59	62	52	52	68	60	60	255	253	253	255	253	252	255	255	254	251	251	251	253	255	255	
254	254	254	255	255	255	249	251	251	253	255	255	255	255	255	253	253	253	254	252	252	255	254	255	255	252	253	255	254	255	255	254	255	255	254	255	255	253	252	254	255	253	253	255	254	251	254	252	
255	255	255	250	250	250	253	255	255	251	253	253	253	255	255	252	254	254	255	255	255	255	255	255	255	254	254	255	254	255	255	251	252	255	255	255	255	255	254	255	255	254	251	254	252	253	255	254	
